iter	Passed	Remaining
938	2530	164
939	2532	161
940	2533	158
941	2535	156
942	2537	153
943	2538	150
944	2540	147
945	2542	145
946	2543	142
947	2545	139
948	2551	137
949	2553	134
950	2555	131
951	2557	128
952	2559	126
953	2561	123
954	2565	120
955	2567	118
956	2569	115
957	2571	112
958	2573	110
959	2574	107
960	2576	104
961	2580	101
962	2582	99
963	2584	96
964	2586	93
965	2587	91
966	2589	88
967	2590	85
968	2592	82
969	2595	80
970	2607	77
971	2609	75
972	2616	72
973	2618	69
974	2620	67
975	2621	64
976	2623	61
977	2628	59
978	2630	56
979	2648	54
980	2650	51
981	2651	48
982	2653	45
983	2654	43
984	2657	40
985	2660	37
986	2662	35
987	2663	32
988	2665	29
989	2666	26
990	2668	24
991	2670	21
992	2673	18
993	2675	16
994	2677	13
995	2679	10
996	2681	8
997	2683	5
998	2685	2
999	2688	0
